Tên sản phẩm,Slug,Tiêu đề phụ,Mã sản phẩm,Giá sản phẩm,Bề mặt,Độ dày,Kích thước,Hoàn thiện,Màu sắc,Ứng dụng,Bộ sưu tập,Tải catalogue,Mô tả,Ảnh 1,Ảnh 2,Ảnh 3,Ảnh 4,Ảnh 5,Ảnh 6,Ảnh 7,URL
Blue Explosion,blue-explosion,,SP13 | SM13,"1,800,000 / m²",Đá hoa,"9mm, 15mm",1200x2400,"Bóng kính, Matt",Xanh Dương,,,,"Lấy cảm hứng từ một loại đá quý cẩm thạch màu xanh có một bề mặt độc ​​đáo, Blue explosion được các kiến ​​trúc sư và nhà thiết kế nội thất đánh giá cao, đặc biệt là trong các môi trường tinh tế.",https://slabstone.vn/wp-content/uploads/2023/02/Slabstone_Blue-Explosion-SP13D122-v3_Polished_120x240cm_916mm__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/02/SP13D122_op-lat__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/02/Slabstone_Blue-Explosion-SP13D122-v3_Polished_120x240cm_916mm__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,,,https://slabstone.vn/san-pham/blue-explosion/
Sand,sand,,SP51,"1,100,000 – 1,970,000 / m²",BODYTECH,"9mm, 12mm, 15mm","800x1600, 1200x2400","Bóng kính, Bóng mờ, Matt",Màu Be,,,,Sản phẩm Sand là sự kết hợp của các tông màu tự nhiên truyền tải chiều sâu và chi tiết thiết kế thú vị. Phản ánh sự hòa quyện mềm mại của cồn cát với tiếng thì thầm của pha lê. Tông màu ấm áp tự nhiên của sản phẩm này tôn lên mọi khu vực xung quanh cả trong nhà lẫn ngoài trời.,https://slabstone.vn/wp-content/uploads/2023/02/Slabstone_Fullbody-SP51D122-Muoi-tieu_Polished_120x240cm_916mm__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/03/180323_sand.png,https://slabstone.vn/wp-content/uploads/2023/02/TP51D122-Lat-San__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/02/Slabstone_Fullbody-SP51D122-Muoi-tieu_Polished_120x240cm_916mm__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,,https://slabstone.vn/san-pham/sand/
Cosima Bei,cosima-bei,,SM05,"1,800,000 / m²",Màu Đặc,9mm,1200x2400,Matt,Màu Be,,,,Mẫu Beige nhẹ nhàng này tạo nên một cảm giác ấm cúng cho phong cách thiết kế tối giản,https://slabstone.vn/wp-content/uploads/2023/02/05_SM05D122.png,https://slabstone.vn/wp-content/uploads/2023/02/180223_Cosima-beige.png,https://slabstone.vn/wp-content/uploads/2023/02/SM05D122-op-lat-scaled.jpg,https://slabstone.vn/wp-content/uploads/2023/02/SM05D122_ban-dai-scaled.jpg,https://slabstone.vn/wp-content/uploads/2023/02/05_SM05D122.png,,,https://slabstone.vn/san-pham/cosima-bei/
Cosima Grey,cosima-grey,,SM04,"1,800,000 / m²",Màu Đặc,9mm,1200x2400,Matt,Xám,,,,"Với tone màu xám nhạt, không gian của bạn trở nên hiện đại và phong cách hơn. Phù hợp với khu vực bếp hay các dự án lớn",https://slabstone.vn/wp-content/uploads/2023/02/Slabstone_Cosima-Grey-SM04D122_Matt_120x240cm_9mm-2-scaled.jpg,https://slabstone.vn/wp-content/uploads/2023/02/180223_Cosima-grey.png,https://slabstone.vn/wp-content/uploads/2023/02/SM04D122-OP-NGOAI-TROI-1-scaled.jpg,https://slabstone.vn/wp-content/uploads/2024/01/SM04D122_op-lat-scaled.jpg,https://slabstone.vn/wp-content/uploads/2023/02/Slabstone_Cosima-Grey-SM04D122_Matt_120x240cm_9mm-2-scaled.jpg,,,https://slabstone.vn/san-pham/cosima-grey/
Glenveal,glenveal,,SM06,"1,800,000 / m²",Đá,9mm,1200x2400,Matt,Xám,,,,Bề mặt Matt tạo nên cảm giác chân thực và có độ sâu với thiết kế đá của Glenveal. Phù hợp với không gian hiện đại và tối giản,https://slabstone.vn/wp-content/uploads/2023/02/Slabstone_Glenveal-SM06D122-v1_Matt_120x240cm_9mm__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/02/180223_Glenveal.png,https://slabstone.vn/wp-content/uploads/2023/02/SM06D122_2__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/02/SM06D122-op-lat-ve-sinh__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/02/Slabstone_Glenveal-SM06D122-v1_Matt_120x240cm_9mm__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/02/Slabstone_Glenveal-SM06D122-v2_Matt_120x240cm_9mm__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/02/Slabstone_Glenveal-SM06D122-v3_Matt_120x240cm_9mm__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/san-pham/glenveal/
Stream,stream,,SM52,"3,050,000 / m²",Đá hoa,20mm,1200x2400,Matt,Trắng,,,,"Gần với tự nhiên là xu hướng thẩm mỹ đang được ưa chuộng trong những năm gần đây. Ứng dụng công nghệ VEINTECH, Stream tái hiện lại vẻ đẹp tự nhiên một cách chân thật, sống động qua những đường vân xuyên thân tinh tế.
Sự độc đáo, phá cách của Stream chắc chắn sẽ đem đến những trải nghiệm thật sự khác biệt cho không gian sống của bạn!",https://slabstone.vn/wp-content/uploads/2023/03/SM52L122_VeinTeck__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/03/150323_stream.png,https://slabstone.vn/wp-content/uploads/2023/03/SM52L122-ban-dao__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/03/SM52L122_ban_bep__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/03/SM52L122_VeinTeck-F2__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,https://slabstone.vn/san-pham/stream/
Crater,crater,,SP31,"1,800,000 / m²",Đá hoa,9mm,1200x2400,Bóng kính,Nâu,,,,"Thiết kế ấn tượng bởi các tone màu mạnh mẽ, Crater phù hợp với những bị trí điểm nhấn tạo nên cá tính độc đáo cho không gian của bạn",https://slabstone.vn/wp-content/uploads/2023/04/SP31D122-v2_Crater_1200x2400x9mm-A__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/04/040423_Crater.png,https://slabstone.vn/wp-content/uploads/2023/04/SP31_background__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/04/TP009D12-op-lat-SP30D122-op-backgroud-vitinh__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/04/SP31D122-v2_Crater_1200x2400x9mm-A__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,https://slabstone.vn/san-pham/crater/
Fossil Noir,fossil-noir,,SP32,"1,800,000 / m²",Đá hoa,9mm,1200x2400,Bóng kính,Đen,,,,"Như những dòng dung nham từ núi lửa, Fossil Noir mang vẻ đẹp huyền bí nhưng mãnh liệt cho những phong cách thiết kế ấn tượng",https://slabstone.vn/wp-content/uploads/2023/04/SP32D122-v3_Fossil-noir_Polished_1200x2400x9mm__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/04/040423_Fossil-noir.png,https://slabstone.vn/wp-content/uploads/2023/04/SP32D122-Phong-ngu-__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/04/SP32D122-Phong-Khach__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/04/SP32D122-v2_Fossil-noir_Polished_1200x2400x9mm__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,https://slabstone.vn/san-pham/fossil-noir/
Dark Emperador,dark-emperador,,SP15,"970,000 – 1,890,000 / m²",Đá hoa,"9mm, 12mm, 15mm","800x1600, 800x2400, 1200x2400","Bóng kính, Bóng mờ, Matt",Màu Be,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,,https://slabstone.vn/wp-content/uploads/2023/07/SP15F816-F3__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/07/sp15.png,https://slabstone.vn/wp-content/uploads/2023/07/SP15_lat_san__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,,,https://slabstone.vn/san-pham/dark-emperador/
Calatorao Gris,calatorao-gris,,SN54,"1,100,000 – 1,390,000 / m²",Đá hoa,"12mm, 15mm",800x1600,Matt,Đen,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,"Nằm trong BST Marble, Calatorao Gris toát lên vẻ đẹp thanh lịch và sang trọng. Màu sắc chủ đạo của nó là đen, tạo nên không gian trang trí với vẻ mạnh mẽ và ấn tượng. Bề mặt của gạch Calatorao Gris  có kết cấu mịn và đồng đều, tạo cảm giác sang trọng và tinh tế.",https://slabstone.vn/wp-content/uploads/2023/07/SN54F86-F3__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/07/SN54.png,https://slabstone.vn/wp-content/uploads/2023/08/sn54.png,https://slabstone.vn/wp-content/uploads/2023/08/sn54.png,https://slabstone.vn/wp-content/uploads/2023/07/SN54F86-F2__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,https://slabstone.vn/san-pham/calatorao-gris/
Calacatta Statuario,calacatta-statuario,,SH14,"970,000 / m²",Đá hoa,15mm,800x1600,Bóng mờ,Trắng,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,,https://slabstone.vn/wp-content/uploads/2023/07/SH14F816_800x1600x12mm-F1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/07/SH-SP14F816_bep_an__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/07/SH14F816_800x1600x12mm-F1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/07/SH14F816_800x1600x12mm-F2__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/07/SH14F816_800x1600x12mm-F3__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/07/SH14F816_800x1600x12mm-F1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,https://slabstone.vn/san-pham/calacatta-statuario/
Marine,marine,,SP16,"970,000 – 1,800,000 / m²",Đá hoa,"9mm, 12mm","800x1600, 1200x2400",Bóng kính,Xanh Dương,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,,https://slabstone.vn/wp-content/uploads/2023/07/SP16F816-v1_Polished_800x1600x9mm__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/07/SP16.png,,,,,,https://slabstone.vn/san-pham/marine/
Onice Nero,onice-nero,,SP45,"1,800,000 / m²",Đá hoa,9mm,1200x2400,Bóng kính,Đen,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,"Lấy cảm hứng từ loại đá quý màu đen truyền thống, là đồ trang sức đã được sử dụng từ thời cổ đại, mẫu đá nung kết Onice nero là sự kết hợp của những bề mặt quyến rũ có thể nắm bắt được sự hoàn hảo về màu sắc phù hợp với những trang trí độc đáo mang dấu ấn cá nhân",https://slabstone.vn/wp-content/uploads/2023/09/SP45H122-Random-3-face-copy__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/s45.png,https://slabstone.vn/wp-content/uploads/2023/09/SP45_phong_tam__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/SP45H122-Random-3-face__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,,https://slabstone.vn/san-pham/onice-nero/
Verde Karzai,verde-karzai,,SP48,"1,800,000 / m²",Đá hoa,9mm,1200x2400,Bóng kính,Xanh Lá,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,"Verde Kazai lấy cảm hứng từ màu xanh của cây nhiệt đới, mang đến một không gian trong lành và thư thái. Kết hợp với màu vàng rực rỡ tượng trưng cho sự giàu có, tươi sáng và sự tươi mới của mùa thu. Đây là sự kết hợp hoàn hảo tạo điểm nhấn và sự phá cách trong không gian",https://slabstone.vn/wp-content/uploads/2023/09/SP48H122-1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/s48.png,https://slabstone.vn/wp-content/uploads/2023/09/SP48H122_phoi_canh__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/SP48H122-1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,,https://slabstone.vn/san-pham/verde-karzai/
Carrara Bianco,carrara-bianco,,SP47,"1,800,000 / m²",Đá hoa,9mm,1200x2400,Bóng kính,Trắng,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,"Biến đổi không gian của bạn với sản phẩm đá Carrara Bianco tinh xảo nổi bật với những khối lớn với những đường vân màu xám nhạt đan xen trên nền trắng, tạo ra hiệu ứng tuyệt đẹp như đám mây. Thưởng thức vẻ đẹp và sự sang trọng của sản phẩm đá độc đáo này và nâng cao tính thẩm mỹ cho ngôi nhà hoặc văn phòng của bạn ngay lập tức.",https://slabstone.vn/wp-content/uploads/2023/09/SP47H122-2__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/Op-Ve-Sinh-SP47D122__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/SP47H122-1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,,,https://slabstone.vn/san-pham/carrara-bianco/
Calacatta Macchia Vecchia,calacatta-macchia-vecchia,,SP43,"1,800,000 / m²",Đá hoa,9mm,1200x2400,Bóng kính,Màu Be,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,Màu Beige trang nhã kết hợp với các đường vân độc đáo tạo nên sự hài hòa và đột phá cho không gian sử dụng thêm phần sang trọng.,https://slabstone.vn/wp-content/uploads/2023/09/SP43H122-2__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/s43.png,https://slabstone.vn/wp-content/uploads/2023/09/SP43_background__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/SP43H122-1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,,https://slabstone.vn/san-pham/calacatta-macchia-vecchia/
Orobico Gris,orobico-gris,,SP44,"1,800,000 / m²",Đá hoa,9mm,1200x2400,Bóng kính,Xám,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,,https://slabstone.vn/wp-content/uploads/2023/09/SP44H122-AB-2__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/s44.png,https://slabstone.vn/wp-content/uploads/2023/09/SP44_background__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/SP44H122-AB-1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,,https://slabstone.vn/san-pham/orobico-gris/
Calatorao Bianco,calatorao-bianco,,SM41,"1,800,000 / m²",Đá hoa,9mm,1200x2400,Bóng kính,Trắng,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,,https://slabstone.vn/wp-content/uploads/2024/02/SM41D122-F1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/s41.png,https://slabstone.vn/wp-content/uploads/2024/02/SM41D122_phong_tam__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/02/SM41D122-F1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,,https://slabstone.vn/san-pham/calatorao-bianco/
Calatorao Noir,calatorao-noir,,SP29,"1,800,000 / m²",Đá hoa,9mm,1200x2400,"Bóng kính, Matt",Đen,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,Calatorao Noir tự hào có những đường vân vàng lấp lánh trên màu đá đen tuyền đậm để mang đến một mẫu có khả năng xử lý mọi loại không gian.,https://slabstone.vn/wp-content/uploads/2023/09/SP29H122-1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/s29.png,https://slabstone.vn/wp-content/uploads/2023/09/SP29H122_ve_sinh__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/SP29H122-3__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,,https://slabstone.vn/san-pham/calatorao-noir/
Ash Maple,ash-maple,,SM19,"1,800,000 / m²",Gỗ,9mm,1200x2400,Matt,Nâu,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,"Với khổ lớn vượt trội, đá vân gỗ SLABSTONE đem nét đẹp thiên nhiên chân thực nhất vào không gian sống của bạn.
Không giới hạn khả năng thiết kế, mẫu đá vân gỗ SLABSTONE cho bạn thoả sức sáng tạo với những ý tưởng cắt ghép, tạo hình khác nhau. Những đường vân gỗ trải dài, không bị gián đoạn sẽ mở rộng không gian, tôn lên nét tinh tế và sang trọng rất riêng cho ngôi nhà.",https://slabstone.vn/wp-content/uploads/2023/09/SM19D122-Random-face__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/s19.png,https://slabstone.vn/wp-content/uploads/2023/09/SM19D12_phong_ngu__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,,,https://slabstone.vn/san-pham/ash-maple/
